,Latitude,Longitude,Velocidade,Orientação
0,-30.02638957976363, -51.22896661004556,0,0
0,-30.02607508198258,-51.227627718578724,17,90
1,-30.02605459141507,-51.22745696384948,11,67
2,-30.02605459141507,-51.22745696384948,11,67
3,-30.02602044046922,-51.22731694497149,9,90
4,-30.02602044046922,-51.22731694497149,9,90
5,-30.02604093103673,-51.227262303458126,0,90
6,-30.02604093103673,-51.227262303458126,0,90
7,-30.02604093103673,-51.22725205817437,0,90
8,-30.02604093103673,-51.22725205817437,0,90
9,-30.02604093103673,-51.22725205817437,0,90
10,-30.02604093103673,-51.22725205817437,0,90
11,-30.02604093103673,-51.22725205817437,0,90
12,-30.02604093103673,-51.22725205817437,0,90
13,-30.02604093103673,-51.22725205817437,0,90
14,-30.02604093103673,-51.22725205817437,0,90
15,-30.02604093103673,-51.22725205817437,0,90
16,-30.02604093103673,-51.22725205817437,0,90
17,-30.02604093103673,-51.22725205817437,0,90
18,-30.02604093103673,-51.22725205817437,0,90
19,-30.02604093103673,-51.22725205817437,0,90
20,-30.02604093103673,-51.22725205817437,0,90
21,-30.02604093103673,-51.22725205817437,0,90
22,-30.02604093103673,-51.22725205817437,0,90
23,-30.02604093103673,-51.22725205817437,0,90
24,-30.02604093103673,-51.22725205817437,0,90
25,-30.02604093103673,-51.22725205817437,0,90
26,-30.02604093103673,-51.22725205817437,0,90
27,-30.02604093103673,-51.22725205817437,0,90
28,-30.02604093103673,-51.22725205817437,0,90
29,-30.02604093103673,-51.22725205817437,0,90
30,-30.02604093103673,-51.22725205817437,0,90
31,-30.02604093103673,-51.22725205817437,0,90
32,-30.02604093103673,-51.22725205817437,0,90
33,-30.02604093103673,-51.22725205817437,0,90
34,-30.02604093103673,-51.22725205817437,0,90
35,-30.02604093103673,-51.22725205817437,0,90
36,-30.02604093103673,-51.22725205817437,0,90
37,-30.02604093103673,-51.22725205817437,0,90
38,-30.02604093103673,-51.22725205817437,0,90
39,-30.02604093103673,-51.22725205817437,0,90
40,-30.02604093103673,-51.22725205817437,0,90
41,-30.02604093103673,-51.22725205817437,0,90
42,-30.02604093103673,-51.22725205817437,0,90
43,-30.02604093103673,-51.22725205817437,0,90
44,-30.02604093103673,-51.22725205817437,0,90
45,-30.02604093103673,-51.22725205817437,0,90
46,-30.02604093103673,-51.22725205817437,0,90
47,-30.02604093103673,-51.22725205817437,0,90
48,-30.02604093103673,-51.22725205817437,0,90
49,-30.02604093103673,-51.22725205817437,0,90
50,-30.02604093103673,-51.22725205817437,0,90
51,-30.02604093103673,-51.22725205817437,0,90
52,-30.02604093103673,-51.22725205817437,0,90
53,-30.02604093103673,-51.22725205817437,0,90
54,-30.02604093103673,-51.22725205817437,0,90
55,-30.02604093103673,-51.22725205817437,0,90
56,-30.02604093103673,-51.22725205817437,0,90
57,-30.02604093103673,-51.22725205817437,0,90
58,-30.02604093103673,-51.22725205817437,0,90
59,-30.02604093103673,-51.22725205817437,0,90
60,-30.02604093103673,-51.22725205817437,0,90
61,-30.02604093103673,-51.22725205817437,0,90
62,-30.02604093103673,-51.22725205817437,0,90
63,-30.02604093103673,-51.22725205817437,0,90
64,-30.02604093103673,-51.22725205817437,0,90
65,-30.02604093103673,-51.22725205817437,0,90
66,-30.02604093103673,-51.22725205817437,0,90
67,-30.02604093103673,-51.22725205817437,0,90
68,-30.02604093103673,-51.22725205817437,0,90
69,-30.02604093103673,-51.22725205817437,0,90
70,-30.02604093103673,-51.22725205817437,0,90
71,-30.02604093103673,-51.22725205817437,0,90
72,-30.02604093103673,-51.22725205817437,0,90
73,-30.02604093103673,-51.22725205817437,0,90
74,-30.02604093103673,-51.22725205817437,0,90
75,-30.02604093103673,-51.22725205817437,0,90
76,-30.02604093103673,-51.22725205817437,0,90
77,-30.02604093103673,-51.22725205817437,0,90
78,-30.02604093103673,-51.22725205817437,0,90
79,-30.02604093103673,-51.22725205817437,0,90
80,-30.02604093103673,-51.22725205817437,0,90
81,-30.02604093103673,-51.22725205817437,0,90
82,-30.02604093103673,-51.22725205817437,0,90
83,-30.02604093103673,-51.22725205817437,0,90
84,-30.02604093103673,-51.22725205817437,0,90
85,-30.02604093103673,-51.22725205817437,0,90
86,-30.02604093103673,-51.22725205817437,0,90
87,-30.02604093103673,-51.22725205817437,0,90
88,-30.02604093103673,-51.22725205817437,0,90
89,-30.026010195185464,-51.227176926093506,16,90
90,-30.026010195185464,-51.227176926093506,16,90
91,-30.02589066687499,-51.22691054871587,26,67
92,-30.025559402700242,-51.22617971847468,42,67
93,-30.025559402700242,-51.22617971847468,42,67
94,-30.025344251741387,-51.22574941655697,45,67
95,-30.02515300644463,-51.22527813350424,47,67
96,-30.024702213959408,-51.22432190702044,47,67
97,-30.02446657243304,-51.22386086925146,47,67
98,-30.02446657243304,-51.22386086925146,47,67
99,-30.023991874285727,-51.222949038997264,47,67
100,-30.023991874285727,-51.222949038997264,47,67
101,-30.023780138421454,-51.22248800122829,47,67
102,-30.023780138421454,-51.22248800122829,47,67
103,-30.022994666666904,-51.220889736962505,50,67
104,-30.022994666666904,-51.220889736962505,50,67
